State,polygon,long,lat
New South Wales,2,142.5086822,-34.7500458
New South Wales,2,142.501831,-34.7326393
New South Wales,2,142.5141754,-34.6909332
New South Wales,2,142.4980316,-34.6724281
New South Wales,2,142.4715424,-34.6667481
New South Wales,2,142.4720306,-34.6401253
New South Wales,2,142.4586334,-34.6195831
New South Wales,2,142.470871,-34.5918426
New South Wales,2,142.4727936,-34.5752792
New South Wales,2,142.4301758,-34.5747948
New South Wales,2,142.4106903,-34.5535355
New South Wales,2,142.3778381,-34.5418167
New South Wales,2,142.3684082,-34.5270882
New South Wales,2,142.3922119,-34.4922676
New South Wales,2,142.3614197,-34.4878578
New South Wales,2,142.3741455,-34.4713173
New South Wales,2,142.3539734,-34.4706612
New South Wales,2,142.3651733,-34.4470596
New South Wales,2,142.3636627,-34.4280548
New South Wales,2,142.3526306,-34.4190826
New South Wales,2,142.3520966,-34.394577
New South Wales,2,142.3706513,-34.3832893
New South Wales,2,142.3686218,-34.3697357
New South Wales,2,142.3875122,-34.3637772
New South Wales,2,142.3844147,-34.3493652
New South Wales,2,142.3968048,-34.3380966
New South Wales,2,142.3684387,-34.3269119
New South Wales,2,142.3486176,-34.3365746
New South Wales,2,142.3216095,-34.336937
New South Wales,2,142.2962189,-34.3244972
New South Wales,2,142.2838745,-34.3265686
New South Wales,2,142.2721863,-34.3035698
New South Wales,2,142.238205,-34.3078194
New South Wales,2,142.2324676,-34.2967491
New South Wales,2,142.2486114,-34.2865448
New South Wales,2,142.2495575,-34.2669296
New South Wales,2,142.2434998,-34.2460289
New South Wales,2,142.243866,-34.216198
New South Wales,2,142.2292633,-34.2077141
New South Wales,2,142.2203217,-34.1816635
New South Wales,2,142.1985779,-34.1834946
New South Wales,2,142.1840057,-34.1757317
New South Wales,2,142.1659393,-34.1827774
New South Wales,2,142.159256,-34.1714821
New South Wales,2,142.165863,-34.1522675
New South Wales,2,142.1452026,-34.1494942
New South Wales,2,142.1383057,-34.1600151
New South Wales,2,142.1203461,-34.156704
New South Wales,2,142.1208801,-34.1740913
New South Wales,2,142.1038513,-34.1772995
New South Wales,2,142.082077,-34.1729927
New South Wales,2,142.0780029,-34.1580734
New South Wales,2,142.0652771,-34.1473274
New South Wales,2,142.0742645,-34.130352
New South Wales,2,142.0284729,-34.1208687
New South Wales,2,142.042511,-34.1042137
New South Wales,2,142.0149689,-34.1041145
New South Wales,2,142.0133209,-34.1252632
New South Wales,2,141.98349,-34.1124115
New South Wales,2,141.9720917,-34.1155701
New South Wales,2,141.9641571,-34.1367722
New South Wales,2,141.9484863,-34.1211014
New South Wales,2,141.9032288,-34.1112251
New South Wales,2,141.8853607,-34.1147003
New South Wales,2,141.8802643,-34.1312866
New South Wales,2,141.8478088,-34.1262207
New South Wales,2,141.8424072,-34.1325264
New South Wales,2,141.8021088,-34.1158791
New South Wales,2,141.7806702,-34.1164742
New South Wales,2,141.7525635,-34.1084251
New South Wales,2,141.73550410000001,-34.093071
New South Wales,2,141.7170258,-34.1149597
New South Wales,2,141.7105865,-34.0986214
New South Wales,2,141.6774445,-34.101223
New South Wales,2,141.6537781,-34.1170807
New South Wales,2,141.6350708,-34.1203918
New South Wales,2,141.6321258,-34.1401367
New South Wales,2,141.590332,-34.1802177
New South Wales,2,141.5826874,-34.1987495
New South Wales,2,141.5679779,-34.1918297
New South Wales,2,141.545044,-34.2005844
New South Wales,2,141.5328064,-34.2116013
New South Wales,2,141.5175934,-34.2064552
New South Wales,2,141.5073395,-34.189209
New South Wales,2,141.510849,-34.1777039
New South Wales,2,141.4946442,-34.1545143
New South Wales,2,141.4828033,-34.1634254
New South Wales,2,141.4524994,-34.1612854
New South Wales,2,141.4440308,-34.1676827
New South Wales,2,141.4060516,-34.1421928
New South Wales,2,141.4048004,-34.1268578
New South Wales,2,141.3864441,-34.1337166
New South Wales,2,141.3815918,-34.1221428
New South Wales,2,141.357544,-34.1106873
New South Wales,2,141.346405,-34.1243477
New South Wales,2,141.3231201,-34.1331596
New South Wales,2,141.315155,-34.1116333
New South Wales,2,141.2844544,-34.1042442
New South Wales,2,141.2610169,-34.0789795
New South Wales,2,141.2317963,-34.0731583
New South Wales,2,141.2071991,-34.0611877
New South Wales,2,141.1793518,-34.0894966
New South Wales,2,141.1533051,-34.0815773
New South Wales,2,141.1533203,-34.0642891
New South Wales,2,141.1352692,-34.0597115
New South Wales,2,141.1075287,-34.0612602
New South Wales,2,141.0966949,-34.0731392
New South Wales,2,141.0827942,-34.0709114
New South Wales,2,141.0624237,-34.0544472
New South Wales,2,141.0394592,-34.0527687
New South Wales,2,141.0027771,-34.040638
New South Wales,2,141.0029602,-34.0218925
New South Wales,2,141.0026855,-33.6795082
New South Wales,2,141.0024872,-33.4369011
New South Wales,2,141.0023193,-33.2269974
New South Wales,2,141.0020904,-32.9317894
New South Wales,2,141.0019226,-32.7238998
New South Wales,2,141.0015259,-32.218071
New South Wales,2,141.001358,-31.9984989
New South Wales,2,141.0012817,-31.8172188
New South Wales,2,141.0009308,-31.5066586
New South Wales,2,141.0005951,-31.1999683
New South Wales,2,141.0006103,-31.0346889
New South Wales,2,141.0007019,-30.757124
New South Wales,2,141.0005646,-30.4752655
New South Wales,2,141.0004578,-30.2859459
New South Wales,2,141.0003357,-30.0506248
New South Wales,2,141.0001373,-29.8076496
New South Wales,2,140.9998779,-29.4720535
New South Wales,2,140.9995575,-29.1795807
New South Wales,2,140.9994812,-28.9990959
New South Wales,2,141.2025299,-28.9991016
New South Wales,2,141.5370178,-28.9988708
New South Wales,2,141.859436,-28.9990978
New South Wales,2,142.034378,-28.9983597
